,DATE,STATION_ID,CLASS,DEPTH_M,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY,LON,LAT
594,08/03/92 00:00:00,A3,Surface,1.0,6.5,20.8,25.0,-73.755,40.84166666666667
597,08/03/92 00:00:00,A4,Surface,1.0,7.3,20.8,25.0,-73.735,40.87638888888889
600,08/03/92 00:00:00,H-D,Surface,1.0,7.9,21.6,25.5,-73.66000000000001,40.845
603,08/03/92 00:00:00,H-C,Surface,1.0,9.7,21.1,25.5,-73.67500000000001,40.865
606,08/03/92 00:00:00,H-C1,Surface,1.0,7.8,20.9,25.0,-73.69500000000001,40.88666666666666
609,08/03/92 00:00:00,A5,Surface,1.0,9.0,21.0,25.0,-73.68666666666667,40.89833333333333
612,08/03/92 00:00:00,H-B,Surface,1.0,7.9,20.8,25.0,-73.715,40.91333333333333
615,08/03/92 00:00:00,H-A3,Surface,1.0,7.5,20.7,25.0,-73.72,40.92333333333333
618,08/03/92 00:00:00,B1S,Surface,1.0,9.4,20.8,25.5,-73.66666666666667,40.94499999999999
623,08/03/92 00:00:00,B2,Surface,1.0,9.4,20.9,26.5,-73.65333333333334,40.935
628,08/03/92 00:00:00,B3M,Surface,1.0,10.8,21.1,26.0,-73.64500000000001,40.91999999999999
631,08/03/92 00:00:00,B4,Surface,1.0,10.1,21.5,26.0,-73.635,40.90666666666667
636,08/03/92 00:00:00,C1,Surface,1.0,10.3,21.5,26.0,-73.58,40.955
641,08/03/92 00:00:00,C2,Surface,1.0,8.6,20.8,26.0,-73.5,40.985
644,08/03/92 00:00:00,DI2,Surface,1.0,8.5,21.0,25.5,-73.76666666666667,40.89444444444445
647,08/03/92 00:00:00,DI1,Surface,1.0,7.3,20.8,25.5,-73.77333333333333,40.8925
652,08/10/92 00:00:00,A1,Surface,1.0,3.5,22.0,25.0,-73.82666666666667,40.80333333333333
657,08/10/92 00:00:00,A2M,Surface,1.0,3.5,21.0,27.0,-73.78333333333333,40.80166666666666
660,08/10/92 00:00:00,A3,Surface,1.0,4.8,21.0,26.0,-73.755,40.84166666666667
663,08/10/92 00:00:00,A4,Surface,1.0,5.5,21.5,26.5,-73.735,40.87638888888889
666,08/10/92 00:00:00,H-D,Surface,1.0,5.8,22.0,26.5,-73.66000000000001,40.845
669,08/10/92 00:00:00,H-C,Surface,1.0,6.8,22.0,27.0,-73.67500000000001,40.865
672,08/10/92 00:00:00,H-C1,Surface,1.0,6.2,21.5,26.5,-73.69500000000001,40.88666666666666
675,08/10/92 00:00:00,A5,Surface,1.0,6.8,22.0,26.5,-73.68666666666667,40.89833333333333
678,08/10/92 00:00:00,H-B,Surface,1.0,7.0,22.0,26.5,-73.715,40.91333333333333
681,08/10/92 00:00:00,H-A3,Surface,1.0,6.5,22.0,26.5,-73.72,40.92333333333333
684,08/10/92 00:00:00,B1S,Surface,1.0,6.2,22.0,27.0,-73.66666666666667,40.94499999999999
689,08/10/92 00:00:00,B2,Surface,1.0,7.2,22.0,26.5,-73.65333333333334,40.935
694,08/10/92 00:00:00,B3M,Surface,1.0,7.8,22.0,26.5,-73.64500000000001,40.91999999999999
697,08/10/92 00:00:00,B4,Surface,1.0,6.5,22.0,26.5,-73.635,40.90666666666667
702,08/10/92 00:00:00,C1,Surface,1.0,6.6,22.0,26.5,-73.58,40.955
707,08/10/92 00:00:00,C2,Surface,1.0,7.5,22.0,27.0,-73.5,40.985
710,08/10/92 00:00:00,DI2,Surface,1.0,6.6,22.5,26.0,-73.76666666666667,40.89444444444445
